code_commune,prix_m2_median_tous,nb_transactions_tous,prix_m2_median_maison,nb_transactions_maison,prix_m2_median_appart,nb_transactions_appart,annee,nom_commune,code_departement
01079,1379.7092671108417,8,1379.7092671108417,8.0,,,2020,Champagne-en-Valromey,01
01080,1848.714953271028,6,1848.714953271028,6.0,,,2020,Champdor-Corcelles,01
01081,1910.112359550562,6,2151.608958190018,4.0,1766.6666666666665,2.0,2020,Champfromier,01
01082,2166.6666666666665,9,2214.7307886754297,6.0,2166.6666666666665,3.0,2020,Chanay,01
01083,4142.662566489362,14,4142.662566489362,14.0,,,2020,Chaneins,01
01084,2070.5882352941176,7,2036.111111111111,5.0,2070.5882352941176,2.0,2020,Chanoz-Châtenay,01
01085,2009.803921568628,7,2009.803921568628,7.0,,,2020,La Chapelle-du-Châtelard,01
01089,2329.88616838488,16,2258.775936317369,14.0,3847.4750944692546,2.0,2020,Château-Gaillard,01
01090,2584.2696629213483,5,2584.2696629213483,5.0,,,2020,Châtenay,01
01092,1776.6483516483518,28,1703.2967032967033,27.0,2641.791044776119,1.0,2020,Châtillon-la-Palud,01
01093,2479.1944165678315,46,2625.3623188405795,23.0,1790.1234567901236,23.0,2020,Châtillon-sur-Chalaronne,01
01094,1666.6666666666667,15,1666.6666666666667,13.0,4774.09705604096,2.0,2020,Chavannes-sur-Reyssouze,01
01098,1925.3521126760563,11,1925.3521126760563,11.0,,,2020,Chazey-Bons,01
01099,2366.342486651411,14,2342.1052631578946,10.0,4065.686274509804,4.0,2020,Chazey-sur-Ain,01
01102,1970.1492537313432,10,1970.1492537313432,10.0,,,2020,Chevroux,01
01103,4460.3125,17,5000.0,9.0,4331.536388140161,8.0,2020,Chevry,01
01104,2484.7233360064156,10,2732.5431034482763,8.0,2202.238643773093,2.0,2020,Chézery-Forens,01
01105,3178.5714285714284,23,3276.8361581920904,21.0,2916.1691542288554,2.0,2020,Civrieux,01
01108,1145.4545454545455,17,778.125,8.0,1554.054054054054,9.0,2020,Coligny,01
01109,3793.1442080378247,28,3829.930994824612,22.0,3441.9220779220777,6.0,2020,Collonges,01
01111,1633.2561865764642,8,1633.2561865764642,8.0,,,2020,Conand,01
01113,2142.1665695981364,8,2142.1665695981364,8.0,,,2020,Condeissiat,01
01115,2022.2222222222224,11,1974.820788530466,8.0,2817.894736842105,3.0,2020,Confrançon,01
01118,2515.2027027027025,12,3016.9985775248933,8.0,2096.3197239792985,4.0,2020,Corbonod,01
01123,2070.967741935484,12,2070.967741935484,12.0,,,2020,Cormoranche-sur-Saône,01
01124,869.5652173913044,11,869.5652173913044,11.0,,,2020,Cormoz,01
01125,1285.1851851851852,16,1434.6718005133848,14.0,866.596638655462,2.0,2020,Corveissiat,01
01127,2314.7727272727275,7,2314.7727272727275,7.0,,,2020,Courmangoux,01
01130,1744.186046511628,19,1744.186046511628,19.0,,,2020,Bresse Vallons,01
01133,2693.918704350587,8,2693.918704350587,8.0,,,2020,Cressin-Rochefort,01
01134,1899.0566037735848,31,2163.4615384615386,28.0,1228.1690140845071,3.0,2020,Crottet,01
01135,4448.420454545455,39,4531.25,21.0,4440.426443488944,18.0,2020,Crozet,01
01136,1858.602564102564,10,1858.602564102564,10.0,,,2020,Cruzilles-lès-Mépillat,01
01138,1477.6119402985075,35,1642.6470588235295,25.0,1304.7345612134345,10.0,2020,Culoz,01
01139,704.2483660130719,6,953.968253968254,4.0,593.1372549019608,2.0,2020,Curciat-Dongalon,01
01140,2087.378640776699,14,2087.378640776699,14.0,,,2020,Curtafond,01
01141,1773.2758620689656,7,1773.2758620689656,7.0,,,2020,Cuzieu,01
