code_commune,nom_commune,code_departement,latitude,longitude,commune_prix_m2,commune_volume,commune_prix_m2_maison,commune_volume_maison,commune_prix_m2_appart,commune_volume_appart,dept_prix_m2,dept_prix_m2_maison,dept_prix_m2_appart,commune_prix_m2_2020,commune_prix_m2_2024,evolution_5ans_pct,commune_prix_m2_2023,evolution_1an_pct,population_2023,evolution_pop_5_ans,evolution_pop_10_ans,revenu_median,taux_pauvrete,nb_equipements_total,equipements_par_1000_habitants,nb_equipements_dom_C,nb_equipements_dom_D,nb_equipements_dom_B,taux_cambriolages,taux_vols_total,taux_violences_total,distance_gare_km,gare_moins_5km,gare_moins_10km,score_immobilier,score_dynamisme,score_revenus,score_equipements,score_securite,score_transport,score_attractivite
01012,Aranc,01,45.997589500000004,5.488357000000001,1799.601011826825,38,1764.379956248291,38.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,1400.0,1028.9027982326952,-26.5,1352.4590163934429,-23.9,331.0,0.0060790273556231,0.054140127388535,24270.0,,64.0,193.3534743202417,3.0,0.0,3.0,7.967921,2.404332,2.6995135,6.7,0.0,1.0,34.3,52.1,75.1,79.1,54.6,59.2,57.3
01013,Arandas,01,45.896183,5.486082,1864.59422917223,18,1835.9375,17.0,2815.572521668472,1.0,2624.447729710821,2500.0,2943.6619718309857,1212.7659574468084,1757.142857142857,44.9,618.1818181818181,184.2,138.0,-0.0416666666666666,-0.1265822784810126,22180.0,,28.0,202.8985507246377,3.0,3.0,0.0,7.967921,3.9900291,4.0780581,3.1,1.0,1.0,59.4,21.6,36.9,81.7,36.4,83.2,50.8
01014,Arbent,01,46.278051,5.677896,2055.160054621711,182,2114.0749901576487,98.0,2014.8602918555973,84.0,2624.447729710821,2500.0,2943.6619718309857,1370.3703703703704,6024.758454106281,339.6,1696.428571428571,255.1,3555.0,0.0592967818831942,0.0425219941348973,22410.0,13.0,732.0,205.9071729957806,15.0,84.0,144.0,7.967921,9.818293300000002,6.8909976,2.8,1.0,1.0,57.1,81.2,40.4,82.4,9.0,85.0,60.4
01015,Arboys en Bugey,01,45.726336,5.6517800000000005,2076.486237761503,48,1982.7452153110046,42.0,2913.1756588916214,6.0,2624.447729710821,2500.0,2943.6619718309857,1398.6486486486488,1989.9145704793546,42.3,1388.888888888889,43.3,710.0,0.0973724884080371,0.1251980982567353,23800.0,,72.0,101.40845070422536,3.0,0.0,0.0,7.967921,5.1015269,5.4752171,13.7,0.0,0.0,51.6,90.8,69.9,25.0,23.2,26.9,53.8
01016,Arbigny,01,46.470291,4.966091,2284.5959936937143,27,2240.1503759398497,27.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,1468.2456140350878,2377.2533849129595,61.9,2307.692307692308,3.0,462.0,0.0021691973969631,0.081967213114754,23080.0,,48.0,103.89610389610392,0.0,0.0,3.0,7.967921,3.5158298,4.0780581,6.7,0.0,1.0,51.3,49.6,60.8,26.8,39.1,59.2,48.8
01017,Argis,01,45.933755500000004,5.490802,1295.162483396727,82,1291.065206570433,67.0,2005.538851084032,15.0,2624.447729710821,2500.0,2943.6619718309857,927.1964399237127,1371.6814159292037,47.9,1600.0,-14.3,419.0,-0.0688888888888888,-0.0071090047393364,20790.0,,72.0,171.8377088305489,3.0,3.0,3.0,7.967921,3.6532263,5.4752171,1.5,1.0,1.0,83.7,11.6,17.0,70.9,30.6,91.6,49.5
01019,Armix,01,45.849819,5.585372,2498.1227527666565,2,2388.3159324335797,2.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,,1704.5454545454545,,,,25.0,-0.074074074074074,0.1904761904761904,,,8.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,1.0,,10.3,50.0,95.3,98.6,67.4,
01021,Ars-sur-Formans,01,45.993913,4.822182,2989.845382514037,93,2926.1065266316577,71.0,3059.2048655226126,22.0,2624.447729710821,2500.0,2943.6619718309857,3000.0,2787.6106194690265,-7.1,3813.362068965517,-26.9,1528.0,0.0707778556412053,0.1016582552271088,26430.0,,208.0,136.12565445026178,6.0,36.0,12.0,7.967921,7.169056100000001,5.4752171,7.9,0.0,1.0,15.7,84.9,90.2,50.6,15.9,52.1,53.3
01022,Artemare,01,45.874253,5.693253,2054.8762208521766,112,2050.008828783913,98.0,2328.419322299847,14.0,2624.447729710821,2500.0,2943.6619718309857,1041.6666666666667,2204.3010752688174,111.6,2175.5725190839694,1.3,1139.0,-0.0844051446945337,-0.0306382978723404,22000.0,,280.0,245.82967515364356,9.0,66.0,36.0,7.967921,10.0325029,8.4678737,4.1,1.0,1.0,57.1,8.0,34.1,89.5,7.4,76.5,44.5
01023,Asnières-sur-Saône,01,46.3831665,4.882270999999999,2224.4825612399,6,2135.591325732171,6.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,,2046.6666666666667,,1845.2380952380952,10.9,78.0,0.0985915492957746,0.1304347826086956,,,8.0,102.56410256410255,0.0,0.0,0.0,7.967921,1.5856971,1.397159,1.2,1.0,1.0,,91.0,50.0,25.8,66.8,92.8,
