code_departement,prix_m2_median_tous,nb_transactions,prix_m2_median_maison,prix_m2_median_appart,annee
35,2306.3508064516127,11374,2000.0,2980.684210526316,2020
36,1052.6315789473683,2435,1022.3930481283421,1342.5925925925926,2020
37,2118.320610687023,6838,1977.7777777777776,2500.0,2020
38,2500.0,13437,2431.055555555556,2568.825910931174,2020
39,1533.3333333333333,2905,1466.867469879518,1755.3191489361702,2020
40,2291.6666666666665,5692,2157.5,2700.0,2020
41,1447.3684210526317,3996,1413.6065573770493,1664.084051724138,2020
42,1675.0,8619,1886.0759493670887,1400.0,2020
43,1444.4444444444443,2418,1413.5593220338983,1509.090909090909,2020
44,2924.5283018867926,15545,2650.0,3472.222222222222,2020
45,1792.8129032258064,7613,1706.8181818181818,2244.2267573696145,2020
46,1562.5,2298,1520.7,2048.192771084337,2020
47,1537.7492877492878,4662,1500.0,1739.3896551724138,2020
48,1409.090909090909,713,1375.0,1463.4861407249466,2020
49,1909.090909090909,8537,1768.421052631579,2608.695652173913,2020
50,1614.5833333333333,7045,1564.625850340136,2187.5,2020
51,2008.18115942029,5246,1759.3984962406016,2428.5714285714284,2020
52,1068.505834601725,1482,1000.0,1635.2941176470588,2020
53,1369.047619047619,3679,1281.7291586135807,2035.7142857142856,2020
54,1847.6,8038,1707.4468085106382,2031.25,2020
55,1163.3936593505327,1848,1075.925925925926,1868.4865900383138,2020
56,2121.212121212121,10369,1941.176470588236,2782.608695652174,2020
58,1066.6666666666667,2712,1006.9271332694152,1371.1981566820275,2020
59,2116.326530612245,24339,1842.1052631578948,3200.0,2020
60,2206.896551724138,8085,2151.5151515151515,2500.0,2020
61,1264.9006622516556,3991,1240.0,1669.3989071038252,2020
62,1697.9166666666667,13383,1583.3333333333333,2846.153846153846,2020
63,1830.5631868131868,7044,1645.7014767932492,2066.2331081081084,2020
64,2410.25641025641,8060,2089.75,3043.478260869565,2020
65,1586.2068965517242,2959,1500.0,1766.990291262136,2020
66,2230.0,7647,2209.45945945946,2269.6153846153848,2020
69,3777.777777777778,17734,3537.3218243819265,3895.348837209304,2020
70,1240.0471451021476,2388,1204.31654676259,1494.407894736842,2020
71,1408.421052631579,6297,1401.956474190726,1428.571428571429,2020
72,1458.3333333333333,6710,1421.011586452763,1666.6666666666667,2020
73,3085.470085470085,6536,2688.221153846154,3285.576923076923,2020
74,4000.0,10707,3932.0,4024.0998838559817,2020
75,10677.014066496164,13778,12500.0,10666.666666666666,2020
76,2046.022727272728,14313,1902.7777777777776,2555.1587301587306,2020
77,3062.5,15090,2812.5,3552.6315789473683,2020
78,3875.0,13209,3655.555555555556,4086.8518518518517,2020
79,1291.6666666666667,4851,1223.783359497645,2450.9803921568628,2020
80,1826.6194331983804,6078,1604.275681341719,3103.1947261663286,2020
81,1657.3033707865168,4176,1600.0,1937.5,2020
82,1709.8765432098764,2999,1709.8765432098764,1711.5131578947369,2020
83,3536.231884057971,17543,3552.222222222222,3500.0,2020
84,2648.9621489621486,5956,2727.2727272727275,2398.4126984126983,2020
85,2097.2852369863012,9844,2008.5470085470083,2708.333333333333,2020
86,1521.4804469273745,5219,1388.888888888889,2148.3382209188658,2020
87,1500.0,4652,1416.6666666666667,1714.2857142857142,2020
88,1356.78391959799,4319,1304.3478260869565,1495.8954430379745,2020
89,1368.4860736747528,4330,1315.7894736842106,1757.3529411764707,2020
90,1571.428571428571,1329,1701.123595505618,1456.7554932211315,2020
91,3253.4588052409504,11014,3336.633663366337,3134.25,2020
92,6995.724418604652,13034,7825.252525252526,6891.304347826087,2020
93,4138.486866791745,10434,4035.121951219512,4178.326810176125,2020
94,5013.3830845771145,10486,5141.4473684210525,5000.0,2020
95,3497.6785714285716,9994,3568.181818181818,3418.6046511627906,2020
971,2486.8329868329874,1636,2160.9195402298856,2728.6299329858525,2020
972,2842.477876106195,1241,2842.477876106195,2849.624060150376,2020
973,2666.6666666666665,606,2565.217391304348,2758.064516129032,2020
974,2549.285840239817,3588,2542.3728813559323,2560.9756097560976,2020
01,2546.1977186311788,13380,2419.3548387096776,2863.6363636363635,2021
02,1392.5925925925926,10395,1307.6923076923076,2371.223286661754,2021
03,1307.924107142857,9606,1214.9285585909417,1610.8633776091083,2021
04,2228.333333333333,4957,2389.191919191919,2055.1971326164876,2021
05,2496.8253968253966,4809,2452.0170454545455,2500.0,2021
06,4446.618541033435,33360,4964.814814814815,4318.681318681319,2021
07,2024.5398773006127,7479,2038.8349514563104,1982.7868852459017,2021
08,1288.4615384615386,4973,1200.0,1650.8955223880596,2021
09,1477.998065764023,4342,1416.6666666666667,1681.6170555108608,2021
10,1616.6666666666667,6705,1511.6279069767445,1788.8461538461538,2021
11,1912.1950598421186,11442,1772.3863636363635,2327.993103448276,2021
12,1629.3981481481483,6208,1492.857142857143,1888.888888888889,2021
13,3519.3376068376065,39452,4042.258738601824,3221.9444444444443,2021
14,2481.927710843373,20408,2203.9137931034484,3083.333333333333,2021
15,1304.3478260869565,3226,1237.1134020618556,1455.4347826086955,2021
16,1442.3931623931624,9035,1401.5151515151515,1945.5882352941176,2021
17,2594.029702970297,20354,2352.9411764705883,3901.622738001574,2021
18,1276.595744680851,7592,1208.955223880597,1618.1818181818182,2021
19,1488.4615384615386,6095,1443.2575757575758,1604.1666666666667,2021
21,2326.530612244898,12636,1944.4444444444443,2615.3846153846152,2021
22,1750.0,18323,1685.7142857142858,2210.5263157894738,2021
23,903.6144578313254,3327,858.8957055214723,1428.7232142857144,2021
24,1635.4545454545455,14141,1612.9032258064517,1860.4651162790697,2021
25,2125.0,11117,1981.4814814814813,2264.705882352941,2021
26,2287.581699346405,11688,2379.310344827586,2048.192771084337,2021
27,1949.1400547445255,15506,1933.3333333333333,2146.2566844919784,2021
28,1917.2413793103449,10335,1846.1901306240932,2297.872340425532,2021
29,1964.2857142857144,24145,1921.1538461538464,2065.421195652174,2021
2A,3928.932178932179,2938,4652.604166666666,3638.802505526897,2021
2B,2949.3589743589746,2910,3070.1754385964914,2906.9767441860463,2021
30,2499.3670886075947,18425,2460.5263157894738,2570.436507936508,2021
31,2818.181818181818,29211,2662.3376623376626,2988.68437900128,2021
32,1594.2028985507247,4901,1581.084120557805,1666.6666666666667,2021
33,3484.848484848485,35513,3183.370786516854,3944.444444444444,2021
34,3064.883061658398,32056,2853.398058252428,3255.813953488372,2021
35,2530.309057971014,22274,2142.8571428571427,3210.101867572156,2021
